,fold_id,train_ids,test_ids,cc_start,cc_end,w0,w1,w2,w3,w4,w5,w6
0,0,[ 1  3  4  6  7 11],[ 0  2  5  8  9 10],0.6626203072856578,0.6094711409129527,1e-05,0.8490982028011238,1e-05,0.309343278317837,2.2170895118601543,1.85341198655938,0.12716237085586507
0,1,[ 0  2  5  8  9 10],[ 1  3  4  6  7 11],0.5518830568214999,0.5535709078734194,0.9876064570186449,0.9920973392143466,1.0083345387574827,1.0096695691522164,1.0096499431511143,1.0101190796959483,0.9824726919025167
0,2,[ 1  2  4  5  7 11],[ 0  3  6  8  9 10],0.6130574007894088,0.6142663660816102,0.9847727507337175,1.0017980794554397,0.9994811277143624,0.9981572972962693,1.0128849711194547,1.011053312056809,0.9918221726458436
0,3,[ 0  3  6  8  9 10],[ 1  2  4  5  7 11],0.6103254828313983,0.6538160577996733,1e-05,0.04315975593906962,1.0474822071146959,1.4858116571891495,1.4921303737121083,1.509819130899587,1e-05
0,4,[ 0  2  5  8  9 11],[ 1  3  4  6  7 10],0.5985174869183232,0.5999258413315197,0.9873558887397692,0.9955867830064011,1.0085979171167159,1.0072294049066066,1.005574962393396,1.0101972645346071,0.9854163102230005
0,5,[ 1  3  4  6  7 10],[ 0  2  5  8  9 11],0.6294356400072221,0.614872787880934,1e-05,0.5893756083845674,0.31173376285138565,0.7904196699119754,2.116618543829879,1.5469518761401766,0.060017780065020565
0,6,[ 2  3  4  6  8 11],[ 0  1  5  7  9 10],0.6585346766665156,0.6201169957516336,1e-05,0.6880166604682679,1.8416299057393655,0.4084737334303141,0.3616824906352616,2.112513316392838,0.19719371292805565
0,7,[ 0  1  5  7  9 10],[ 2  3  4  6  8 11],0.5762377400220033,0.5769808537134666,0.9836113049474211,0.9940712326540186,0.9911733228903356,1.0095080818142979,1.0285385275789505,1.0099749957625528,0.9830741410770921
0,8,[ 1  3  4  8  9 10],[ 0  2  5  6  7 11],0.6252912621782099,0.6269275912275869,0.9901106309402588,0.9935909605918432,0.9988053515343477,1.0037737360022443,1.0130322794137951,1.0098930797358965,0.9907657140704721
0,9,[ 0  2  5  6  7 11],[ 1  3  4  8  9 10],0.6099483370042705,0.611469935183967,0.9788311354728375,1.0013812361265022,1.0056979006004827,1.0052246222886638,1.0088752652584188,1.012305658114027,0.9876478476270023
0,10,[0 1 2 3 6 7],[ 4  5  8  9 10 11],0.7031896677008962,0.7130683083658502,1e-05,1.0222421639017023,0.6721989289737589,1.3089043759535963,1.264453922710134,1.9000979861402765,1e-05
0,11,[ 4  5  8  9 10 11],[0 1 2 3 6 7],0.4977555521399889,0.4990424524026501,0.9955734854926166,0.9922634537086454,1.0034547285382718,1.0011694758565997,1.014563990224205,1.0047937196661356,0.9881420648701322
0,12,[ 1  3  5  8  9 10],[ 0  2  4  6  7 11],0.6571212406446548,0.7062877083596166,0.07755803398156863,1e-05,1.0139052834520914,1.4288769828542822,1.8064722088348448,1.2338967342495724,0.08746896311523888
0,13,[ 0  2  4  6  7 11],[ 1  3  5  8  9 10],0.565668960607637,0.567237147500973,0.977171116825961,1.0011974723339583,1.0045525523856564,1.003309026943538,1.011077438260011,1.0158335030860952,0.9868216532713502
0,14,[ 4  6  7  8  9 11],[ 0  1  2  3  5 10],0.555586975902068,0.5572368670687287,0.9874738831965302,0.9973299940349832,1.001203187306176,0.9972624713000521,1.0131931790196842,1.0131436954071433,0.9903609104745228
0,15,[ 0  1  2  3  5 10],[ 4  6  7  8  9 11],0.6585419820786765,0.6912054015640928,1e-05,0.5420064724994683,0.7889028340018602,1.8254552202887244,1.3271575000343176,1.5742150751245398,1e-05
