,fold_id,train_ids,test_ids,cc_start,cc_end,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14
0,0,[ 1  3  4  6  7 11],[ 0  2  5  8  9 10],0.6626203072856579,0.6850316206739204,1e-05,1e-05,0.21433345722962105,1.023800287946856,1.2661686767466893,1e-05,0.6422950611607383,0.03868983013482019,1e-05,2.0909226574180275,3.184070965281417,2.295065914225503,1.0181010597396696,0.10909092851374402,0.22246155531624268
0,1,[ 0  2  5  8  9 10],[ 1  3  4  6  7 11],0.5518830568214995,0.6352591501353572,0.27387420017771985,0.13639455185129662,0.10076175929345021,0.8844602391618976,0.6373732739747033,1.2093627179696462,1.6796180719179987,1.190269523850982,0.47906108382291046,0.7357209850304184,2.3829454790420694,1.8022038520584387,0.21095966288443352,0.10974854466840417,0.18263426728003618
0,2,[ 1  2  4  5  7 11],[ 0  3  6  8  9 10],0.6130574007894087,0.6759202648411073,1e-05,1e-05,0.5032681858452888,1.3486326676094114,1.5700062166097704,0.16433503018233536,1.135950676871862,0.8762864548458905,0.0030528296876003447,2.2047811845007077,1.7434886460107868,1.7564901053848545,0.7465129642938906,0.588508553315007,1e-05
0,3,[ 0  3  6  8  9 10],[ 1  2  4  5  7 11],0.6103254828313984,0.642885503187979,1e-05,1e-05,1e-05,0.6189717699673957,0.7111725779150397,0.8551134055276968,1.6002504285784869,0.9763762555266886,0.23753801072251773,0.40821242563209204,3.279024472095349,2.0310670771569357,1e-05,1e-05,0.6459639419839256
0,4,[ 0  2  5  8  9 11],[ 1  3  4  6  7 10],0.5985174869183233,0.6751204224358526,1e-05,1e-05,0.09526143009654109,0.8206387262061148,0.5253104092907825,1.4699857882451988,2.1077250171629847,1.0812371257884337,0.31714622489977295,0.3010804236793608,2.6119095919053597,2.213790504310614,1e-05,0.11894821085764207,1e-05
0,5,[ 1  3  4  6  7 10],[ 0  2  5  8  9 11],0.6294356400072221,0.6565775251125775,1e-05,1e-05,0.06844375016562232,0.9715152466469037,1.316374807115616,1e-05,0.6469053366392407,0.550557876897773,1e-05,2.000662107035832,2.889837434953435,1.7695183415332596,0.72319040093941,0.02495848712673976,0.4829397605862023
0,6,[ 2  3  4  6  8 11],[ 0  1  5  7  9 10],0.6585346766665156,0.7072951818822798,1e-05,0.08167103280377319,0.15785035048532609,1.1585017035161,1.656951003350716,1.3004135326221327,1.5161979414990487,0.3780258698970978,1e-05,0.26333152521627906,2.180509446343933,2.71506202237842,0.2753636646249028,0.3165160487879012,0.5424288443848779
0,7,[ 0  1  5  7  9 10],[ 2  3  4  6  8 11],0.5762377400220033,0.6070453426203334,0.27663287692291966,1e-05,0.4235682366388395,0.7294098139573848,0.22725082474887226,1e-05,1.2349236086791826,1.0599793067680991,0.9270561527641864,1.517305760366828,2.9193892788067703,1.6306822064432605,0.48205923327182343,1e-05,0.26965066931884385
0,8,[ 1  3  4  8  9 10],[ 0  2  5  6  7 11],0.6252912621782099,0.6862050677024127,0.4811167481696591,1e-05,1e-05,0.4048358375147617,1.3644016368435075,0.031251909558724145,1.241640879133587,0.8440579540648602,1e-05,1.3328383204887901,3.07693209052372,1.5729283521204198,0.7830202704696139,0.1917614588620397,0.22403858039823338
0,9,[ 0  2  5  6  7 11],[ 1  3  4  8  9 10],0.6099483370042703,0.6784013959524635,1e-05,1e-05,0.591589925460956,1.342460562557767,0.6314907351879788,1.1919512875774436,1.4701563182281279,1.270955684164329,0.4149818480453475,1.260820480444941,1.9876815759831608,2.0073768597873194,0.12639526291309666,0.06425448200380457,0.4387473300468363
0,10,[0 1 2 3 6 7],[ 4  5  8  9 10 11],0.7031896677008962,0.7330265892935152,1e-05,1e-05,0.45442550811511717,1.3114661021856018,0.94095920852995,0.3367137336954469,1.641305104764434,1.2844838087642194,1e-05,1.0005864237692081,3.2580329454791843,2.942764519637657,0.08307228078515128,1e-05,0.8074135280876218
0,11,[ 4  5  8  9 10 11],[0 1 2 3 6 7],0.4977555521399887,0.4991361465327216,0.9997198381211094,0.9964777091275289,0.9937517554238757,0.998278892036768,1.0022816492451785,1.0002999880240884,1.0013205626662185,0.9993437840642151,0.99732280498102,1.0041958221342902,1.0149241976254726,1.0054424174941732,0.9987381470609448,0.9985442795511491,0.989324134517603
0,12,[ 1  3  5  8  9 10],[ 0  2  4  6  7 11],0.6571212406446547,0.7198797489172563,0.48540012915413966,1e-05,1e-05,0.1453575808972315,1.4438499999604688,0.16738357128614645,1.5035157515449584,0.9089166478218115,1e-05,1.6560492714227812,3.1791399253580486,1.4088086752945286,0.6013246036007502,0.49828454213384593,1e-05
0,13,[ 0  2  4  6  7 11],[ 1  3  5  8  9 10],0.565668960607637,0.6329860954708925,1e-05,0.053412105732892845,0.47730688302213925,1.350204467519713,0.8622035842080971,1.006672180551584,1.3643087188309175,1.1494528593318663,0.4490024259023682,0.9881735391377579,2.2085624532474624,1.9485092537286925,0.12120777327453736,1e-05,0.6081233390120939
0,14,[ 4  6  7  8  9 11],[ 0  1  2  3  5 10],0.5555869759020677,0.6572427029429687,1e-05,0.3427000443375346,0.21692044734853166,0.9154127533731964,1.2001725739324123,0.9897627259692668,1.0567322603489815,0.5663600323898722,0.6086150361839804,1.1606428065376586,2.2202441695017066,1.6497122142453593,0.9358257850041009,0.5654289533550341,0.34123273416299205
0,15,[ 0  1  2  3  5 10],[ 4  6  7  8  9 11],0.6585419820786766,0.7061025379414175,1e-05,1e-05,0.17560367669355448,0.9870966997100177,0.8685788900061817,1e-05,2.0061138336740036,1.715641205849971,1e-05,1.2709328930557169,3.4347869523514687,2.5284096919624504,1e-05,1e-05,1e-05
