,fold_id,train_ids,test_ids,cc_start,cc_end,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11
0,0,[ 1  3  4  6  7 11],[ 0  2  5  8  9 10],0.6626203072856578,0.664376274785448,1e-05,1e-05,0.9327977010129634,1.1334032720255927,1e-05,0.3816088519360983,0.30242008791905284,1.598511051578851,2.916511063230205,1.7103037107989492,0.3536173822418522,0.3203996810444172
0,1,[ 0  2  5  8  9 10],[ 1  3  4  6  7 11],0.5518830568214997,0.6037272111024696,0.26087619700207204,0.295084512564467,0.281332478861821,0.7561890424850621,1.3156643611291494,1.604176309668151,1.1421318609196962,0.46531682546224873,2.4589589958555567,0.45578756473272247,0.21969109545365045,0.2720489443261672
0,2,[ 1  2  4  5  7 11],[ 0  3  6  8  9 10],0.6130574007894087,0.6364159948749256,1e-05,1e-05,1.270435932478432,1.5696353359026463,0.2806064191291312,1.1260577393930402,0.47647972805631694,1.8168425486013184,1.6838847713558616,0.9428567938294902,0.9751193004349652,1e-05
0,3,[ 0  3  6  8  9 10],[ 1  2  4  5  7 11],0.6103254828313984,0.6068032161229219,1e-05,0.19316751459121623,0.05179204814447891,0.680557938632143,0.984475840007921,1.3770759119732139,1.2217208042613243,0.01972954115378689,3.1593204461810807,0.6457758528149424,1e-05,0.6673134206810827
0,4,[ 0  2  5  8  9 11],[ 1  3  4  6  7 10],0.5985174869183233,0.6534180068999426,1e-05,0.16550872911479675,0.2876877086734458,0.6925767911364329,1.6713775096361587,1.8702128001390472,0.7501171775780882,0.2768267797868976,2.771142911225222,0.20220550140570326,0.33328919809349994,1e-05
0,5,[ 1  3  4  6  7 10],[ 0  2  5  8  9 11],0.6294356400072223,0.6526214722939118,0.06671642873311445,1e-05,0.648439885101277,1.2602614156740588,1e-05,0.5954119529693149,0.9254841517689869,1.2335975628844622,2.709154866454987,1.361993691639795,0.05019645486218005,0.5361598913022303
0,6,[ 2  3  4  6  8 11],[ 0  1  5  7  9 10],0.6585346766665158,0.6983487419579999,1e-05,1e-05,0.9000290253635033,1.9559086845289826,1.3021738355868835,1.2354445863892016,1e-05,1e-05,2.7145005062488914,0.8152743990813531,0.621358616163883,0.5526640880851361
0,7,[ 0  1  5  7  9 10],[ 2  3  4  6  8 11],0.5762377400220033,0.5943294494935032,0.21574357347616818,0.08525792184034864,0.5273956695080388,0.23859675440878692,0.19017013632517515,1.2711699265952947,1.310775575656329,1.2094482505710316,2.7389947793077996,0.9923882757074218,0.045910164845122614,0.33517180245690487
0,8,[ 1  3  4  8  9 10],[ 0  2  5  6  7 11],0.6252912621782099,0.6844812870664476,0.34247146099060416,1e-05,1e-05,1.2419304594552087,0.06194397273631441,1.3693873830629517,1.048001606723237,0.6849081568700193,2.90666792708404,0.853929004695239,0.345392926517932,0.35916603907488254
0,9,[ 0  2  5  6  7 11],[ 1  3  4  8  9 10],0.6099483370042704,0.6653273292757417,1e-05,1e-05,1.2350113260812665,0.8270602778147367,1.4217263369584623,1.3066088053638807,0.8806982191336971,0.9784521479275201,2.2436819663719243,0.7713068765165699,0.15725251063520612,0.45267113364605227
0,10,[0 1 2 3 6 7],[ 4  5  8  9 10 11],0.703189667700896,0.7239804970691582,1e-05,1e-05,1.129255343807031,0.9896378655671655,0.42884101698249166,1.4612187578229268,0.9176114038440275,0.3286802283625486,3.1759482703643345,1.4232694590924029,1e-05,0.7470313182527275
0,11,[ 4  5  8  9 10 11],[0 1 2 3 6 7],0.49775555213998884,0.5596078596650973,0.8925886922787957,0.4379265177731744,0.1408082310649159,1.1245311424263746,0.9728941264957036,1.1594136003775188,0.9948491331766995,1.0137805322892097,2.1864057391367,0.3704902413980526,0.9580732547492466,0.10434681451789488
0,12,[ 1  3  5  8  9 10],[ 0  2  4  6  7 11],0.6571212406446548,0.7213693454354116,0.2864500862098218,0.007606239789319735,1e-05,1.268514322775995,0.18427517926178172,1.5220603645697581,1.3244402127224577,0.6385130269714681,3.096117138643122,0.6316376872319107,0.30122172451140666,1e-05
0,13,[ 0  2  4  6  7 11],[ 1  3  5  8  9 10],0.5656689606076369,0.6200675606416303,1e-05,1e-05,1.2435638876080282,1.0330839212265417,1.2294786411840983,1.2593685553263347,0.7024536616124499,1.039831026134188,2.3431797881867595,0.741984361359497,0.019739064582471932,0.5357399451936252
0,14,[ 4  6  7  8  9 11],[ 0  1  2  3  5 10],0.5555869759020678,0.6302022508046804,0.0188071022409792,1e-05,0.5737343734311111,1.2501665450698993,0.9769288036596281,1.028451803727304,0.4426812390671899,1.3860216406738326,2.2743276543076925,0.9250773617584274,0.8306546819749365,0.3011731028712288
0,15,[ 0  1  2  3  5 10],[ 4  6  7  8  9 11],0.6585419820786765,0.6949071229090835,1e-05,1e-05,0.48299656587807477,0.8510507158440845,0.18018961154166846,1.812230523946952,1.5596340996004654,1e-05,3.5169207626403516,0.8626857922338093,1e-05,0.0862468518309023
