,fold_id,train_ids,test_ids,cc_start,cc_end,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52,w53,w54,w55,w56,w57,w58,w59,w60,w61,w62,w63,w64,w65,w66,w67,w68,w69,w70,w71,w72,w73,w74,w75,w76,w77,w78,w79
0,0,[ 1  3  4  6  7 11],[ 0  2  5  8  9 10],0.6626203072856579,0.6842756431339768,1e-05,0.11906653024959701,0.29098526470534575,0.1693723623310519,0.3896530161111935,0.3559851597785822,0.25707673552188937,0.18514546796074766,1e-05,1e-05,0.219629484447535,1e-05,0.46384121482491,0.6754599134358434,0.7214527157375823,0.7205805307856051,1.8181054421174028,1.2255388261959999,0.7842611604645245,0.6050749913621154,0.5274979638404083,0.8768230309346633,1.5902657337463801,0.8529266023479137,0.5145655861812436,1.4159036520636668,1.524546288074518,0.425407902923356,1e-05,1e-05,1e-05,1e-05,0.350035969121441,0.7500817374951518,1.031941831039561,0.7980689315606698,0.9008740202832743,0.05798230829568862,0.029922070698703784,0.16763832050361438,1.0011748902211537,0.46761436823149866,0.18821004085234927,0.5251132621508119,0.8436734744977938,1e-05,0.5277220375217629,1e-05,1.112735960076943,0.7874907477242419,1e-05,2.67889484105978,3.582678568861831,3.4962631464332303,3.0241593070351542,2.586161377044001,2.8945440883586873,1.227871912122531,0.3984020074283082,3.4939715741770128,2.0688639160807547,1.879848593338342,2.4417738723852898,1.7647045062622553,1.3351165587290077,0.9846806854973712,0.8214243189560424,1.4797863420249924,0.34677553217703794,1e-05,1e-05,0.6669435076972883,1.4118906962476148,0.5381096718536705,0.17397929413893892,1e-05,1e-05,0.018430355534262588,1.0141654902644544,1.481345072785891
0,1,[ 0  2  5  8  9 10],[ 1  3  4  6  7 11],0.5518830568215,0.6103615938606791,0.4301646467464304,0.404973964189881,0.4288535645816369,0.6200774168250691,0.589063460202768,0.5819111647360253,0.549106066740763,0.43581258380368504,0.4277622229156821,0.02029394235472265,0.8554347458909012,0.705911165173398,0.5783999527412831,0.8480123514663436,1e-05,0.7005984361176427,0.9231102230254808,0.8529863130285663,0.8242597268590215,0.9927047880534583,0.9362234885492059,0.7639476398720656,0.7454914910036523,0.5244529461282273,0.6044115581391891,1.4475870450063362,0.8843660547375514,0.6010960142286315,1.3803818116244109,1.3111764954613547,1.1561068367742624,1.093684380775455,1.3948348021456844,1.1238255943272535,1.2549610667062414,1.9500257059830624,1.189601419298717,0.6425550684734842,1.405502514315586,1.5100260653472641,0.5356847521441995,0.9877961677063523,1.3673260987723879,1.4605450686204473,0.9207962685426858,0.6445047960995559,1.9236578042783812,1e-05,0.17706755973813273,1.3947368597840344,0.9962292265014525,1.1702070036592214,1.0907191510302707,2.187970286131076,1.5195021249589837,2.357304588535019,1.5494329190880378,2.666059925818868,2.441484721958176,2.108596309175581,1.3285753819294406,1.0001870058947508,1.2769915950341681,1.5318571122152955,1e-05,0.5367370875925842,0.12589770895046237,0.4151026048163008,1.3205426836235041,0.8265458633663512,0.3419838782950062,0.7158682875475727,1e-05,0.575087371034161,0.9942709802854396,0.9573283033446442,1e-05,1e-05,1e-05,0.35810648033177683
0,2,[ 1  2  4  5  7 11],[ 0  3  6  8  9 10],0.6130574007894087,0.6767963936974284,0.010489664768951412,1e-05,1e-05,0.02061386754694039,0.34516025062606825,0.33406488084457525,0.31541067955984803,0.2149911155187847,0.056591149136214214,1e-05,1e-05,1e-05,0.6761075094158098,0.86577446144584,0.7582631949189937,1.1683906966799993,1.9620815058573446,1.5410490650472706,0.8834250988831566,0.7080962777664966,0.6886826995901529,1.2362476925199128,1.4487681264278083,1.1635315992467972,0.9706630737143283,2.0047718791693243,1.6744759107551002,0.26742388687705676,1e-05,0.05293596218122576,0.2453110374118475,0.01227172340614796,0.910856879569639,1.3200179938000487,1.3852303221568691,0.5835007701598725,1.0876864314388803,0.5470917417461912,1.121422439774354,0.992904603682186,1.3565427148390126,0.3620673108718961,0.5002946604526779,0.6946243544597983,0.9728039959468773,1e-05,0.759509144008714,0.22456709754025816,0.6328642956229351,1.4856927903931223,1.368772176866491,3.1269236498399993,3.3635571501060193,3.0872119303340524,0.963576974783405,0.9704795636982925,1.3776941235943345,1.9589478310893942,1.0985388777227747,2.6582630662515,0.773217683581707,1.2608510206209433,1.983885844157574,2.86469595950392,1e-05,0.6905218661552726,0.6725562127443836,1.5994738681669405,1.46338815075849,0.7087304525735627,0.8092229629402812,1.0199270128716151,0.3508821391410089,0.8291807049610934,1e-05,1e-05,0.7495042625891944,0.1222381565819467,0.5044710137961963,1e-05
0,3,[ 0  3  6  8  9 10],[ 1  2  4  5  7 11],0.6103254828313988,0.6211566225209897,1e-05,0.634084790944857,0.6381063976838599,0.6151150328828059,0.5619333318265307,0.5454593203803684,0.47213106876965943,0.37671078330807245,0.354377733982229,1e-05,1.1002374260299024,0.7885973014037941,0.5203804492858431,0.7861668666774059,1e-05,0.4175431173990484,0.7589933769916217,0.7083084937290988,0.7141908831113148,0.9057370373281654,0.9314590665702742,0.5688115116028372,1.0282507331334567,0.46890462268425454,0.6443294332863319,1.282052089951718,0.9180973629734825,0.7408292266085998,1.2788417883838,1.072641057099835,0.9247573509182447,0.5205373911021802,1.1954485517090878,0.9126485455781037,1.1075770393665774,2.1565830349938127,1.1959044548703779,0.41097026263825615,0.8446041435573755,1.576556765619329,0.613525374663968,1.161355553190395,1.3152824733128554,1.498264313562373,0.8658676920680377,0.9724123668095038,1.712125305482588,1e-05,0.16700908313396196,0.9698265726108221,0.0752805592421047,0.9591083578316202,1.1889397096050547,2.422987702542754,2.6350247570287477,3.0494985008113216,1.9787658715829002,2.2757555415645307,1.7875098399576552,2.5924607401987485,1.9814082266180424,1.284532101276327,1.3649094665814991,0.5947399636573713,0.24490280717420243,0.3787913150812294,0.25597700234541965,0.3148036325874961,0.464548762694663,1e-05,1e-05,0.45697791402599414,0.059995820360224994,0.3777708268841572,1.0856217272139428,0.9495366368369851,1e-05,0.08380868078757436,0.34846162208527237,1.9920150883399272
0,4,[ 0  2  5  8  9 11],[ 1  3  4  6  7 10],0.5985174869183233,0.6442259895871262,1e-05,1e-05,1e-05,0.29205228012661094,0.3661461871412375,0.3986223313279269,0.3711235979313558,0.2600519732788111,0.25233055454851505,1e-05,0.8693400228441227,0.4574980102872038,0.5599573435929273,1.1175293979022758,1e-05,0.9526871671737536,0.9480579660084651,0.8426281989806095,0.6498499066667953,0.9277965293200864,0.8670092907821695,0.8715613991537889,0.6449857134911622,0.5257922281998626,0.46966978426161804,1.518025643514579,0.5800615182258546,0.5769320556794615,1.7103196994050651,1.6529394798058068,1.3174214417367218,1.1773274921729553,1.8131063484794943,1.381713810778127,1.3995383489230686,2.3763256766657164,1.3976368697825594,0.6493705242883482,1.6112651404810066,1.6015068082003947,0.263765657756,0.7727758794604848,0.9746286203579513,1.0425000250404732,0.7348013769395566,0.31640641531530317,2.1910563307871773,1e-05,1e-05,0.48930093222598553,0.9196524414757599,0.788540244096184,0.9165200366806202,2.16593782408666,0.4223033436597837,2.681443747067837,2.1075028991993356,3.373477175476485,3.246602683103677,2.4595222450719056,1.2646607714437406,1.0489767698112058,1.5204036428225671,1.8277788877638759,1e-05,0.09674507673218813,1e-05,0.4594441140106512,1.8100492255342817,0.9390057662288622,0.3142687067961961,0.8474367855703507,1e-05,0.4447273470716544,1.0022109493715596,1.0261873008348388,1e-05,1e-05,1e-05,1e-05
0,5,[ 1  3  4  6  7 10],[ 0  2  5  8  9 11],0.6294356400072222,0.6281941214739108,1e-05,0.5327047948149439,0.6038279698224953,0.47291055179073826,0.5345036624828947,0.4852465415982317,0.398889015379514,0.29713975778093565,0.128764561168773,1e-05,0.2870963709862458,0.07773976742273503,0.47943904456928305,0.41753333595479836,0.33114907894559786,0.35508932270388055,1.4395968523155613,1.066214147026201,0.863206651441504,0.7534588004339344,0.6919965662820472,0.6397018771241746,1.3528911326480657,0.9679639455972091,0.687426638338184,1.4832498187280485,1.773262786946094,0.4306684931681836,1e-05,1e-05,0.04346879692704331,1e-05,0.2932243532808071,0.6298647524999935,0.9995397585076315,0.8662764029612011,0.8455952946270745,0.19518318958056285,0.31484711245253316,0.6631076415403487,1.0839945781746736,0.8334645266606766,0.9671371191369091,1.2701821054691116,0.9906335519474939,0.3021539455374535,0.7854631545795159,1e-05,0.7618291530303889,1.568934303012032,0.11589717641905867,2.573162758804307,2.9967742710034933,3.2720989786482693,3.612139729503008,2.391988560127309,2.00716847122286,1.1256560783521405,0.23973003430920814,2.9555310990077914,2.0100106204866397,1.554550328606041,1.6780989721681354,1.2731695349067984,1.2137919691600036,0.9071393960316754,0.6847479775601188,1.0164942631375995,1e-05,1e-05,1e-05,0.5076590346768867,1.181039613872753,0.637304454337917,0.45925174210123765,0.08523848088787878,0.21692211002761302,0.36667882116370465,0.7796254626833407,1.7175824965938218
0,6,[ 2  3  4  6  8 11],[ 0  1  5  7  9 10],0.6585346766665157,0.7005525823502445,1e-05,0.2886490911023278,0.45165999181048555,0.5984519916510809,0.6642040712890691,0.5866633745020222,0.5348532180915766,0.5389125641594817,0.48790014377526103,1e-05,0.6394019341341445,1e-05,0.10236667832763541,1.057009460234847,1e-05,1.5417369365374471,1.5441951730389674,1.3470814797066646,0.670970521295797,0.59829811315255,1.152234754176943,0.9649831588899781,0.9716974155015238,1.0995165792462915,1.6238526056027025,1.7912307321825018,2.0500222553017844,0.9499251089243905,1.121270309724327,1.2641693123217081,0.9476840544323056,0.8310581702604312,1.0454762054424274,1.1547439641336212,1.1358740322505196,2.006952348932178,1.0122746714181419,0.1949353983743124,0.9791184860024401,0.8391941711682382,0.6413001667628915,0.576778704149771,0.17600448846102545,0.5003533432971754,0.45251285868943764,0.055848711317862565,0.6187615589616161,1e-05,0.2457767471433178,1e-05,1e-05,1.0117285328278798,1.614159739062511,3.4053269866587175,0.86118213596712,0.5247271012467023,1.8212687638803005,2.7670884974429613,1.660681132733591,3.0983567421519185,2.2393625587919734,1.3323673923644683,1.653543132351359,2.627962233811039,1e-05,0.10028938305900259,0.6033242639174483,1.8576402637500393,0.9289259563715102,0.5622927215314324,0.278436240255203,0.9286011497625923,0.5214178401909584,0.20097232692200667,1.3105665818872414,1.0810916952496525,1e-05,0.1362702566577922,0.26434746534778975,1.04292206123386
0,7,[ 0  1  5  7  9 10],[ 2  3  4  6  8 11],0.5762377400220033,0.6131349981610068,0.4102719017447488,0.17537934782024772,0.21795428544987205,0.15756731621346143,0.254367223795003,0.2665282329729467,0.18029336697402698,1e-05,1e-05,1e-05,0.5676391255341855,0.5370197422568146,0.7954985051688775,0.5395557100943649,0.2508929542522681,1e-05,1.18222080238346,0.5889398549734838,0.762588417273453,0.9229004139457891,0.1590096213349504,0.5218904182009798,0.9082117386922006,1e-05,1e-05,1.3956521135313715,0.2712451075688602,0.13830679897025921,1e-05,0.11598169536380437,1e-05,1e-05,1.0492296214823604,0.8492893768689307,1.417812832526673,1.2158351803377387,1.5269289152302248,0.6561728096734829,0.9443800513361422,1.1775986461537882,0.535431120959456,1.0182191593848287,1.7142537963733522,1.818403673101959,1.265525750930067,0.734061061231368,2.2009456111828225,1e-05,0.2962706746724647,1.8490510723540197,1.5674092504224608,2.603925367572301,2.574988175032617,2.2030300336273076,3.559743375588119,4.442901770137744,2.1068884263340033,1.888660906860916,1.1546413404232447,2.8283220247865364,1.2132106735615429,1.52863145227679,2.2014676654140963,1.4660621483222949,0.431271375702026,0.8842963762317485,1e-05,1e-05,1.371002643006701,0.31238031998660726,1e-05,0.2927323842514381,1e-05,0.7285542581028631,0.053118006832650944,1e-05,1e-05,1e-05,0.16607443218583479,1.2262928428856985
0,8,[ 1  3  4  8  9 10],[ 0  2  5  6  7 11],0.6252912621782101,0.6332084040309608,0.6656823091845021,0.587754737056872,0.6767715275349865,0.8703865012008984,0.6075520259343479,0.48009883390804464,0.4064298724656056,0.3452608744813059,0.3636732159945117,1e-05,0.42783572816441773,0.5993965918455266,0.8389736915626631,0.6462170111555101,1e-05,0.5971793580220367,0.9270495499802216,0.8534808675772696,0.48306523944383783,0.3853097158846836,0.67242877196571,0.23799305820846756,1.514600735911652,0.7919970763724045,0.9102171795262082,1.4154173075193657,1.8561383158394356,0.45414636777184103,0.602667893122161,0.2534605847769513,0.5729017300522843,1e-05,0.4860997788592114,0.9001097627554466,1.0491981092215383,1.7764082632567262,1.1251024146978303,0.6758247442107863,0.4209915640152526,1.8109481903178704,0.4427206308534207,0.7263835992513751,1.1202485012647556,1.4047918182083543,0.8464970297455241,0.8426478505016808,1.5267971752856149,1e-05,0.5125907293795111,1.3242603517336022,0.39577872282656545,1.8757703877817649,1.9901716693009364,3.5066225388982213,3.472246722894281,1.3789231655335004,2.4273226814374067,1.195180733475593,0.5573043453724562,2.935335924558903,1.8635772728709559,1.1109523101349612,1.0282237146025786,0.7415219131212726,0.6998754546035152,0.7747729191974156,0.7817650433133516,1.4078102499834924,0.6662866606153692,0.2789991367768826,1e-05,0.19559964194129964,1.160558169816487,0.7052810729008078,1.2517645645797768,0.6365519848583236,1e-05,1e-05,0.0745154159500867,1.3777416490508014
0,9,[ 0  2  5  6  7 11],[ 1  3  4  8  9 10],0.6099483370042703,0.6400005625270434,1e-05,1e-05,1e-05,1e-05,0.23567842710713394,0.41167181786310336,0.3833108321246548,0.20955295348196523,1e-05,1e-05,0.5729254014105646,1e-05,0.21168228675202777,0.9508384186406468,0.9057027334504761,0.9464376570639605,1.3259818622881068,0.9505609508980426,1.0866032830044858,1.4449900772076805,1.2146009940425384,1.2894611751527318,0.7152573885415211,0.6658922578000142,0.46954484546434755,1.3923704528442693,1e-05,0.49428109971145334,1.003778606092485,1.6887374365436052,1.132470611036309,1.181258042160073,1.91445729186747,1.1907338734438644,1.2813277300720247,1.2522543125308714,1.0666227161655257,0.26687467781366486,1.7106010728473255,1.2842776357496917,1.6749033228307584,1.1176708603261154,0.8715397236669542,0.8204626192101261,0.9938579598009779,1e-05,1.2781535878419836,0.16889962495176852,0.6381508424359921,1.1275384431483289,0.8538239277558188,1.503822153658569,1.896390760147396,1.3462360558858648,1e-05,3.7313906195354707,0.713133575451814,3.070796102479274,3.0696041625716366,1.9231197038036199,1.199993450860687,1.406912920563494,2.0769460391397834,2.0995258569729316,1e-05,0.22842683467317582,0.24274878992864485,0.2108857217377747,1.1105171059710885,0.33532787784002677,0.3144987588332433,1.3567344014135072,1e-05,0.36796696295988107,0.0688580421037765,0.4853820417678979,0.7101417996097612,0.2857974940216276,0.7757470202242547,0.5752936177990384
0,10,[0 1 2 3 6 7],[ 4  5  8  9 10 11],0.7031896677008963,0.7182177078423362,1e-05,1e-05,1e-05,1e-05,0.17062005922555118,0.2129507416906859,0.10245778376161974,1e-05,1e-05,1e-05,0.7439834329168746,0.08307770881270565,0.4377984057658093,1.187067990582928,0.8117208328945386,0.45797405024670224,1.5975135838826227,1.3981770699904321,1.0589024446908752,1.1079404655073435,0.7171062623691267,1.2760438922715047,1.2714613490433495,0.6211279778679337,0.6522987679394149,1.7829011058205164,0.923185559672633,0.8319193869014319,0.5435704915472889,0.8746960061223542,0.13513520757575853,1e-05,1.4110094234854715,1.0128027831138693,1.5493728461027567,1.8634496453400384,1.4239493223294386,0.24031598071222976,1.306955207250005,1.36602943368685,1.7554359986807866,1.3250143827462035,1.1236395907677366,1.1330808918137896,0.9149716161834605,0.07954049422822307,0.955541630094155,1e-05,1e-05,0.13875312374968216,0.20161358439375815,2.032808501960008,2.404371803592214,2.0210327135494923,1.0974405293321117,3.7008032836112497,2.192002162610638,3.3579665277773616,1.9061163887142487,3.367740002081866,1.6511472851455542,2.030184561437495,3.087775330211581,3.0704644455910897,1e-05,0.4938952569423478,0.5288421584954026,0.3582327777111059,0.4064769432834392,1e-05,1e-05,0.5861663317886621,1e-05,0.4182443260689734,0.04188032750397366,0.4562474822881693,0.6112066425176529,0.7091085492610192,1.0349065331457272,2.1314617392774995
0,11,[ 4  5  8  9 10 11],[0 1 2 3 6 7],0.4977555521399889,0.5407640594964869,1.0503546665187393,0.9694796660461443,0.9329546443965087,0.998422249964798,0.8579099983310648,0.787309300597796,0.787813045143789,0.8346688790375818,0.8589870742225905,0.013031757966851854,0.6878002158103323,0.583195905087809,0.6724716591354833,0.5261551803600346,1e-05,1.02234702314343,0.9018782370885882,0.7549641651116326,0.5287832686366464,0.5853032435458405,0.9714772700887286,0.48450665713634383,1.0026843687316955,0.754320184171953,0.8770775067433901,1.3811199121469047,1.5634458211888944,0.5003566403523478,0.8711278625415925,0.7531531489222951,1.2272489802965034,1.1330298681975657,0.9254648452497118,1.1393979717412066,0.9356236044491212,1.3306631741289978,0.982916409004462,0.6684158034173298,0.705227856032148,1.4871217462908881,0.23792096206230856,0.65475608213341,1.1318932567065747,1.4029222166042101,0.8954236017947659,0.691415709173691,1.7026495272624556,1e-05,0.7947949104982548,1.5760775818713224,0.7788600453435727,1.3209272114051434,1.5439722086630239,3.088804461706361,2.861782518937595,1.1042261726016025,1.5875512919586554,1.3399071025677478,1.5363447456883128,2.100551240756981,1.615342173723196,0.7109842065860883,0.5296972230586305,0.21669839399127055,0.27418235004672875,0.5639461048778057,0.2657879174076282,1.1207224410166385,1.2353587249465416,0.9056214280244298,0.7864031347143261,0.835912180302211,1.2942881458160862,0.5553958833603504,1.2348856853829568,0.6990264296461833,1e-05,1e-05,1e-05,0.19225828922636384
0,12,[ 1  3  5  8  9 10],[ 0  2  4  6  7 11],0.6571212406446548,0.6808183167834833,0.7694538309383563,0.6307475984782845,0.711988362979395,0.9196881010847668,0.6167021427069004,0.49882967769256337,0.43191529364129333,0.3294812221621605,0.34889171688589815,0.09189985282805946,0.6212088997800637,0.8255010926156133,0.987136634472864,0.7475603532995074,1e-05,0.4903415975005023,0.7016615546999838,0.7565687984710151,0.4606146059360512,0.2945701541353272,0.5993205385389364,0.07140602858523659,1.6865836720938625,0.8690417053688855,0.9799880586034737,1.2923967120223936,2.383820964500714,0.5816727458910037,0.7742960695861696,0.4784823636624639,0.7917188504078468,1e-05,0.670420967077028,1.064466023152487,1.1124464713085727,2.0690629602744797,1.3513337655793465,0.5427340911249174,0.3601371928053813,1.9564547307514994,0.6052031614787358,0.8906061013303981,1.4535259640964484,1.722580325963146,0.9688726468911025,0.9947888578165478,1.613322042918777,1e-05,0.6811853391601976,1.4488361453785745,0.4745238483028612,1.9951548736077451,1.98641227252818,3.0985568189918484,4.1872737898370715,1.3421966123192468,2.716734061603577,1.277367898490274,0.6104995641280828,2.9770621736330476,1.7680979162118697,1.1343787751671117,0.7681660106246719,0.8411450789000796,0.8075279031923897,0.7122219703350167,0.721536628185631,0.7960569145096443,0.5094807982976932,0.6680345729837084,0.5143851554869052,0.3574898647811686,0.9807729531243874,0.9272501530568423,1.7461994561899485,0.7208369370531685,1e-05,1e-05,1e-05,0.521249846936686
0,13,[ 0  2  4  6  7 11],[ 1  3  5  8  9 10],0.5656689606076368,0.5868377650623495,1e-05,0.0684979408352353,0.06883615090233758,1e-05,0.3771271766601958,0.4872566276515642,0.4454419372147842,0.3317795133473202,0.20132424122222414,1e-05,0.604765898862687,1e-05,0.12102925333838732,0.8182815716259255,0.8976497758548667,1.0359702732765668,1.3690675590874866,1.1091115429114027,0.9710381203114046,1.3034451647997565,1.1999053502431714,1.2661028549638074,0.7989463993814316,0.8263785128224237,0.8147767391448815,1.5780762872962883,0.16199976507865643,0.39974391848748786,0.7639030963559353,1.2871675571971055,1.210343939070727,1.0653974688866261,1.7120534594614454,1.1142517518589936,1.2005694905891813,1.2058677825375748,0.9072520837818401,0.47991350303512653,1.559494917531856,1.2742523830402266,1.25031969613605,0.961408408317588,0.8623850637966939,0.8636173541418892,0.8758997813083412,1e-05,0.7697437143603634,0.6649764222016262,1e-05,0.9849386315620435,0.6491830675393296,1.4502481019063993,1.8326178080350934,2.148929348660045,0.1199390820914692,3.5613312496918725,0.9067059631059632,2.7386571901421,2.3954305480896356,1.873070146624854,1.2243505959596714,1.2501400648445826,2.172159240019767,1.8040657392482675,1e-05,0.23020872334093767,0.24806427497867817,0.8431343468045985,0.8618554521201484,1e-05,1e-05,1.0224300334307188,1e-05,0.30195486819890693,1e-05,0.365227219271318,0.7479245709871635,0.7281017996911154,0.9713021834284722,0.9539649724495542
0,14,[ 4  6  7  8  9 11],[ 0  1  2  3  5 10],0.5555869759020677,0.6422068446641014,1e-05,0.4431115825892361,0.4405494057075868,0.17465361185718986,0.5957686738709305,0.7055677313455186,0.6951314720421456,0.7628758119223361,0.5801901675765748,1e-05,0.5274703774668388,1e-05,0.31477277386548813,0.674819500580561,1e-05,1.7747891216313405,1.2665995116842848,0.7862007257045633,0.3585312443123186,0.6589643527522279,1.3733977644732358,0.821090361616528,1.373977499704688,0.6875159303620304,1.0288778711093207,1.3680605209953622,1.2608114008613938,0.5890093522841299,0.9695365939603399,0.7110452697358384,1.3850921981325621,1.2163661030793933,0.6562620354035902,0.8701123420759778,0.8582490867385894,1.2634779792526871,1.1451839562412411,0.4158029970714433,0.4220614999206843,1.5823539607476773,0.14790702124432953,0.31576560852522007,0.3651021778793603,0.8949889241049735,0.5394124783714827,0.14766798133327308,1.5066135607780073,0.018823109239915592,0.8190498482632352,0.8215077359389942,0.30136429592351216,1.6137535243311745,2.4491064267957596,3.786834213955653,2.191388180494258,1.2837426758452652,1.794905351842077,1.9691102765747885,2.0585476279353894,2.6983921432304347,1.8775783654162952,1.1723258151242564,1.1682346320375887,0.8590593351450103,0.46594603809284474,0.8030066593713243,0.4575924851748874,1.462676337336268,1.4316449389203612,1e-05,0.027629083768243523,1.1458564262317936,1.5864911871082126,0.1322934330648573,0.7256580288069909,0.49834329541979927,1e-05,1e-05,0.19097702061142602,0.7590264248006316
0,15,[ 0  1  2  3  5 10],[ 4  6  7  8  9 11],0.6585419820786765,0.7116194197797863,0.10898781788422324,0.05301014522860231,0.19937322259606916,0.5244983225456036,0.30291739861954164,0.18099435189919993,0.07409114799191513,1e-05,1e-05,1e-05,0.7185940532203311,1.0024014016164953,0.6928914939231624,0.9010017173708029,0.11925577373353066,1e-05,1.1454859187885966,1.2505305729998328,1.1366502736638786,0.9567104497227397,0.39879051625624473,0.7914424217581149,1.2348147688959714,0.8063209977701138,0.6017091391612936,1.849370212320834,1.162016183756807,0.5374833853755445,0.31380443256460894,0.7898506929442055,0.34113314373220605,1e-05,1.6487172872962734,1.3502393066494898,1.5882497822873063,2.0948052199897234,1.211810426912672,0.31428874684064484,1.4705473134711655,1.5832927794289056,1.6978308474999095,1.5153187412336782,1.7733451111547842,1.6345801608276909,1.1928445775609637,0.4662654069121177,1.1599014632649767,1e-05,1e-05,1.3066761916257477,0.5239334812335776,1.955574457420599,1.7720189384809841,1.9942260563720096,2.389045226269044,3.6763140545190565,2.3142604488554026,2.675054813577926,1.328320955633465,3.082291988636955,1.5521200651653366,1.5107395964669583,2.372217031670925,2.5101091594543536,1e-05,0.2810995875917106,0.3825498621543487,0.259335578517788,0.33613483827178403,0.4143707693982821,0.1418913760323156,0.3570226173146733,1e-05,0.7872977388411493,0.6632414747644206,0.6041784747173973,0.49057618046314194,0.0427052993917193,0.0599085887371853,0.6362865210068464
